t,Date,SP 500,AAPL,INTC,KR,SR-SP 500 ,SR-AAPL ,SR-INTC,SR-KR,SR-SP500_Return ,SR-AAPL_Return  ,SR-INTC_Return ,SR-KR_Return 
0,12/31/14,2058.9,25.02,30.23,28.45,,,,,,,,
1,1/31/15,1994.99,26.56,27.52,30.59,-3.104084705,6.142921663,-8.958666887,7.52513884,-0.031040847,0.061429217,-0.089586669,0.075251388
2,2/28/15,2104.5,29.12,27.70,31.52,5.489250573,9.644907009,0.635594444,3.041306203,0.054892506,0.09644907,0.006355944,0.030413062
3,3/31/15,2067.89,28.32,26.23,34.05,-1.739605607,-2.75487422,-5.280310789,8.022964814,-0.017396056,-0.027548742,-0.052803108,0.080229648
4,4/30/15,2085.51,28.48,27.31,30.61,0.852076271,0.578640925,4.093359028,-10.10958084,0.008520763,0.005786409,0.04093359,-0.101095808
5,5/31/15,2107.39,29.65,28.91,32.34,1.049143855,4.099076026,5.867901299,5.645047784,0.010491439,0.04099076,0.058679013,0.056450478
6,6/30/15,2063.11,28.66,25.71,32.29,-2.101177286,-3.320592944,-11.08541305,-0.139384639,-0.021011773,-0.033205929,-0.11085413,-0.001393846
7,7/31/15,2103.84,27.72,24.46,34.95,1.974203993,-3.292641465,-4.832330202,8.23332651,0.01974204,-0.032926415,-0.048323302,0.082333265
8,8/31/15,1972.18,25.77,24.12,30.73,-6.258080462,-7.040425328,-1.416228837,-12.07952177,-0.062580805,-0.070404253,-0.014162288,-0.120795218
9,9/30/15,1920.03,25.32,25.68,32.22,-2.644281962,-1.738862084,6.483451466,4.845167479,-0.02644282,-0.017388621,0.064834515,0.048451675
10,10/31/15,2079.36,27.43,28.85,33.76,8.298307839,8.340896646,12.34242658,4.796208282,0.082983078,0.083408966,0.123424266,0.047962083
11,11/30/15,2080.41,27.16,29.63,33.64,0.050496307,-1.004175022,2.687552716,-0.370368769,0.000504963,-0.01004175,0.026875527,-0.003703688
12,12/31/15,2043.94,24.27,29.56,37.47,-1.753019837,-10.64195248,-0.222388535,11.38716685,-0.017530198,-0.106419525,-0.002223885,0.113871668
13,1/31/16,1940.24,22.44,26.62,34.76,-5.073534448,-7.524230425,-9.956490151,-7.219710568,-0.050735344,-0.075242304,-0.099564902,-0.072197106
14,2/29/16,1932.23,22.29,25.39,35.75,-0.412835526,-0.667755573,-4.609914756,2.834315104,-0.004128355,-0.006677556,-0.046099148,0.028343151
15,3/31/16,2059.74,25.26,28.00,34.36,6.599110872,13.33269419,10.2897258,-3.884568956,0.065991109,0.133326942,0.102897258,-0.03884569
16,4/30/16,2065.3,21.73,26.21,31.79,0.269936982,-13.99211204,-6.398755096,-7.477096461,0.00269937,-0.13992112,-0.063987551,-0.074770965
17,5/31/16,2096.95,23.15,27.34,32.12,1.532465017,6.528720339,4.326285319,1.045463964,0.01532465,0.065287203,0.043262853,0.01045464
18,6/30/16,2098.86,22.29,28.64,33.15,0.091084671,-3.683093413,4.727172351,3.187766317,0.000910847,-0.036830934,0.047271724,0.031877663
19,7/31/16,2173.6,24.30,30.44,30.80,3.560980723,9.006280317,6.280520928,-7.067134408,0.035609807,0.090062803,0.062805209,-0.070671344
20,8/31/16,2170.95,24.74,31.33,28.82,-0.121917556,1.813632744,2.954646152,-6.434628175,-0.001219176,0.018136327,0.029546462,-0.064346282
21,9/30/16,2168.27,26.51,33.21,26.84,-0.12344826,7.127615967,5.979827804,-6.877160893,-0.001234483,0.07127616,0.059798278,-0.068771609
